r	g(r)
0	0
0.05	0
0.1	0
0.15	0
0.2	0
0.25	0
0.3	0
0.35	0
0.4	0
0.45	0
0.5	0
0.55	0
0.6	0
0.65	0
0.7	0
0.75	0
0.8	0
0.85	0.00221349
0.9	0.115306
0.95	0.675307
1	1.42984
1.05	1.80373
1.1	1.85494
1.15	1.71014
1.2	1.54554
1.25	1.39413
1.3	1.26249
1.35	1.16006
1.4	1.09002
1.45	1.02483
1.5	0.98175
1.55	0.962068
1.6	0.944059
1.65	0.929302
1.7	0.926241
1.75	0.925042
1.8	0.941832
1.85	0.954109
1.9	0.973823
1.95	0.993229
2	1.0177
2.05	1.0338
2.1	1.04669
2.15	1.04804
2.2	1.05217
2.25	1.04102
2.3	1.0407
2.35	1.0247
2.4	1.02168
2.45	1.0207
2.5	1.01335
2.55	1.00769
2.6	1.00134
2.65	0.995719
2.7	0.997972
2.75	0.996588
2.8	0.997694
2.85	0.999469
2.9	1.00143
2.95	0.99742
3	0.997853
3.05	1.00353
